NAME,CODE,OPEN,HIGH,LOW,CLOSE
RIGA SUGAR  ,507508, 4.73, 5.15, 4.63, 4.63
SAKTHI SUGAR,507315, 14.44, 15.04, 14.1, 14.2
MAHA STEEL  ,513554, 95.0, 95.0, 88.35, 89.35
MARIS SPIN. ,531503, 28.8, 28.8, 28.8, 28.8
TCIEXP      ,540212, 878.1, 916.75, 878.0, 904.6
ABC INDIA   ,520123, 70.9, 70.9, 64.2, 68.05
BIOFIL CHEM ,524396, 73.75, 73.75, 70.85, 71.85
KALLAM      ,530201, 9.55, 9.6, 9.0, 9.15
REL INDL INF,523445, 378.65, 381.3, 372.9, 374.75
AVADHSUGAR  ,540649, 302.05, 318.5, 295.6, 307.0
PALMJEWELS  ,541444, 76.65, 77.0, 71.65, 75.9
THIRUMALAI  ,500412, 96.7, 97.0, 95.05, 95.3
HMVL        ,533217, 62.05, 63.0, 59.4, 62.0
MODERN DAIRI,519287, 9.09, 9.09, 8.25, 8.7
REGENCY     ,540175, 11.3, 12.38, 10.75, 12.01
CUPID LTD   ,530843, 239.0, 239.0, 228.0, 229.15
SVPGLOB     ,505590, 79.9, 80.6, 78.0, 79.2
VENTURA TEXL,516098, 4.92, 4.92, 4.92, 4.92
CAPLIN POINT,524742, 516.4, 529.95, 511.0, 523.8
URJA GLOBAL ,526987, 5.85, 6.09, 5.85, 5.94
KALYANI STEL,500235, 377.5, 377.5, 365.25, 368.1
MAESGETF    ,543246, 24.8, 25.0, 24.75, 25.0
PODDAR PIGM.,524570, 213.1, 216.0, 210.65, 212.6
CSBBANK     ,542867, 254.95, 269.25, 253.7, 263.35
UTINEXT50   ,540669, 36.3, 36.7, 35.47, 36.01
KIFS FSL    ,535566, 39.5, 40.0, 39.5, 40.0
EASEMYTRIP  ,543272, 192.0, 199.4, 188.85, 197.5
PARNAXLAB   ,506128, 22.7, 22.75, 21.0, 21.35
ADANI ENTER ,512599, 1277.0, 1290.0, 1240.3, 1267.85
ATUL LTD.   ,500027, 8250.0, 8314.95, 8158.4, 8290.25
3M INDIA LTD,523395, 25800.0, 25800.0, 24900.0, 24968.65
GENUS POWER ,530343, 54.0, 56.0, 52.0, 53.95
IFCI311011C ,972690, 10750.0, 10750.0, 10750.0, 10750.0
ICICIBANKN  ,542730, 322.0, 326.8, 319.1, 325.59
SEZALGLASS  ,532993, 3.4, 3.69, 3.4, 3.69
VIDHIING    ,531717, 209.95, 226.05, 209.95, 225.45
975MFL24A   ,936538, 1050.0, 1050.0, 1050.0, 1050.0
VICEROY HOTE,523796, 2.01, 2.11, 2.0, 2.1
CONTROL PRNT,522295, 319.2, 328.5, 315.8, 316.65
GUJ.THEMIS. ,506879, 238.05, 275.0, 238.05, 259.05
HALDER      ,539854, 91.45, 91.45, 91.45, 91.45
BKV INDUSTRS,519500, 6.01, 6.01, 5.9, 6.01
JK CEMENT   ,532644, 2778.2, 2785.6, 2768.3, 2775.25
GOTHI PLASCO,531111, 18.85, 20.75, 18.85, 20.75
CEAT LIMITED,500878, 1380.05, 1417.0, 1350.7, 1377.65
AMFORGE IND.,513117, 1.64, 1.64, 1.64, 1.64
THAKKERS DEV,526654, 70.0, 70.0, 68.1, 68.1
DEEPAK FERT.,500645, 264.4, 265.5, 260.0, 262.55
TEXINFRA    ,505400, 70.6, 70.6, 70.35, 70.45
SATIN       ,539404, 87.5, 87.5, 84.65, 84.9
SGBMAR29    ,800339, 4701.05, 4740.0, 4701.05, 4729.0
TEAMLEASE   ,539658, 3286.75, 3416.35, 3276.8, 3354.4
STARLITE COM,517548, 2.57, 2.57, 2.56, 2.57
IFB IND.LTD.,505726, 976.0, 980.5, 955.1, 959.7
MINDA IND   ,532539, 509.65, 524.95, 508.3, 511.0
MGL         ,539957, 1154.0, 1178.25, 1133.0, 1144.35
GOENKA DIAM ,533189, 1.43, 1.43, 1.33, 1.38
AARTI DRUGS ,524348, 711.2, 721.25, 711.0, 714.25
0JMFPL22A   ,936702, 1225.0, 1225.0, 1221.0, 1221.0
ELEC.CASTING,500128, 34.55, 35.5, 33.8, 34.0
793REC22    ,961743, 1099.8, 1101.05, 1099.8, 1101.01
NORTHLINK   ,539110, 18.0, 18.0, 17.0, 17.0
PATIDAR     ,524031, 1.22, 1.22, 1.22, 1.22
OPTIEMUS    ,530135, 142.0, 145.8, 138.35, 145.1
PILANIINVS  ,539883, 1692.0, 1693.0, 1675.0, 1685.1
SBI GOLD ETS,590098, 4180.0, 4184.0, 4155.05, 4165.13
NAVNETEDUL  ,508989, 75.0, 75.9, 74.0, 74.95
BHARTI ARTL ,532454, 559.0, 565.0, 553.6, 559.9
SOUTH IND.BK,532218, 8.07, 8.23, 8.07, 8.17
975SCUF24   ,936602, 1022.5, 1022.5, 1022.0, 1022.0
POWER GRID  ,532898, 218.05, 220.2, 216.75, 218.1
RECLTD      ,532955, 131.6, 131.6, 128.8, 130.0
BAJAJ FINSE ,532978, 11000.0, 11185.0, 10915.45, 11108.8
MRF LTD.    ,500290, 79150.0, 79337.05, 77500.3, 78241.6
CROMPTON    ,539876, 372.0, 383.7, 370.15, 375.05
ARAMBHAN    ,539403, 3.91, 3.91, 3.91, 3.91
EBBETF0431  ,543216, 1033.0, 1033.33, 1033.0, 1033.33
NTC INDUST  ,526723, 62.1, 62.1, 59.0, 59.4
TVS MOTOR L ,532343, 608.0, 617.85, 602.4, 604.05
7NR         ,540615, 5.55, 6.48, 5.55, 6.25
IO SYSTEM   ,523752, 1.66, 1.66, 1.66, 1.66
RPOWER      ,532939, 5.13, 5.25, 5.02, 5.09
SAURAS.CEM. ,502175, 67.05, 68.4, 65.0, 66.1
ALMONDZ GLO ,531400, 27.05, 27.9, 27.05, 27.9
CLIO INFOTEC,530839, 1.23, 1.23, 1.19, 1.19
ITL INDUSTRS,522183, 100.0, 103.95, 99.65, 99.85
ADANI PORTS ,532921, 775.0, 779.0, 733.0, 738.2
BANKBEES    ,590106, 330.99, 330.99, 322.18, 329.36
CYBERTECH   ,532173, 126.1, 131.0, 126.1, 128.9
LORDS CHLORO,500284, 35.2, 37.6, 34.1, 35.75
SANDESH LTD.,526725, 664.0, 686.0, 661.5, 675.85
ANDHRA PETRO,500012, 65.9, 68.55, 65.05, 68.15
SJVN        ,533206, 25.75, 25.75, 25.3, 25.35
RAMINFO     ,530951, 31.85, 32.0, 31.1, 32.0
